source_id,first_success_at,last_success_at,last_attempt_at,consecutive_failures,expected_interval_h,staleness_h,gate_fail_rate_28d,status
wa.minedex.sites,2026-09-03T17:56:38Z,2026-09-03T17:58:05Z,2026-09-03T17:58:05Z,0,720,0.0,0.000,active
wa.tenements.live,2026-09-03T17:58:08Z,2026-09-03T17:58:32Z,2026-09-03T17:58:32Z,0,720,0.0,0.000,active
